Sede,Año,Turno,1.11.a,1.11.b,1.11.c,1.11.d,1.11.e,1.11.f,1.11.g,1.11.h,1.12.a,1.12.b,1.12.c,1.12.d,1.12.e,1.12.f,1.12.g,1.12.h,1.12.i,2.21.a,2.21.b,2.21.c,2.21.d,2.21.e,2.22.a,2.22.b,2.22.c,2.22.d,2.22.e,2.22.f,2.23.a,2.23.b,2.23.c,2.23.d,2.23.e,2.23.f,2.23.g,2.23.h,2.23.i,2.24.a,2.24.b,2.24.c,2.25.a,2.25.b,2.25.c,2.25.d,2.25.e,2.23.f,2.25.g,2.25.h,2.25.i,2.25.j,2.25.k,3.31.a,3.31.b,3.31.c,3.31.d,3.32.a,3.32.b,3.32.c,3.33.a,3.33.b,3.33.c,3.33.d,3.33.e,3.33.f,3.34.a,3.34.b,3.34.c,3.34.d,4.41.a,4.41.b,4.41.c,4.41.d,4.41.e,4.41.f,4.41.g,4.41.h,4.41.i,4.41.j,4.41.k,4.41.l,4.41.m,4.41.n,4.41.o,4.41.p,4.41.q,4.41.r,4.41.s,4.41.t,4.41.u,4.41.v,4.41.w
Central,Cuarto,Mañana,1,1,3,1,1,3,1,1,3,3,1,3,3,3,1,1,1,1,1,1,1,4,1,3,3,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,3,2,2,4,2,1,1,1,2,,3,1,1,1,1,1,1,3,1,3,1,3,4,3,1,1,1,1,1,1,3,3,1,1,1,1,3,3,4,1,3,1,3,3,3,3,4,4,1,1
Central,Cuarto,Mañana,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1
Central,Cuarto,Mañana,3,3,4,1,1,1,1,2,3,3,3,3,3,3,2,1,3,1,1,3,1,3,1,3,3,1,1,1,1,1,1,1,3,3,1,2,3,3,2,3,1,1,2,4,4,4,1,1,1,2,,4,1,4,1,1,1,1,3,1,4,1,1,4,3,3,1,4,1,1,3,3,2,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,2,1
Central,Cuarto,Mañana,2,3,3,1,1,1,1,3,2,2,2,2,3,1,1,4,4,1,1,3,1,1,1,1,3,1,1,3,3,1,3,1,4,1,4,4,4,1,3,4,2,3,1,2,4,2,3,1,4,2,,4,3,4,4,3,4,1,4,1,4,4,1,2,3,2,3,2,1,2,3,1,3,1,1,1,1,1,1,1,3,1,3,1,1,2,1,1,4,2,3
Central,Cuarto,Mañana,2,2,3,1,1,1,1,3,1,2,1,2,2,1,3,4,4,3,3,3,4,4,1,1,1,1,1,1,3,4,3,1,2,1,1,1,1,1,3,1,4,4,2,2,4,2,1,3,1,2,,4,1,4,1,1,3,2,1,1,4,1,1,2,1,1,1,3,1,3,3,2,1,1,1,1,4,1,4,3,3,1,3,3,3,3,1,4,4,4,4
Central,Cuarto,Mañana,3,3,4,1,1,1,4,2,2,2,2,2,2,2,2,4,4,1,1,3,3,1,2,2,2,3,4,2,2,2,2,4,2,2,1,2,3,2,2,3,1,3,3,2,2,2,4,1,4,2,,4,1,4,1,1,4,3,2,3,2,2,4,4,3,3,3,3,3,2,2,2,2,2,1,3,2,2,1,3,3,3,3,3,2,2,2,2,2,2,2
Central,Cuarto,Mañana,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,4,4,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,2,1,4,4,2,2,4,2,4,4,4,2,,4,4,4,4,3,1,3,3,2,4,3,4,4,3,1,3,3,1,2,2,4,3,3,1,1,4,4,4,3,4,4,3,2,4,4,4,4,4,4,4
Central,Cuarto,Mañana,2,2,2,1,3,1,2,2,3,3,2,2,2,3,1,4,4,4,4,4,2,2,3,3,3,1,3,3,3,3,3,4,3,4,4,3,2,1,3,4,2,3,1,2,2,1,3,3,4,2,,2,1,2,1,4,4,4,2,3,4,4,4,2,3,2,2,3,2,2,2,2,2,3,3,1,3,3,3,3,2,1,3,2,2,2,3,2,2,2,2
Central,Cuarto,Mañana,2,2,1,1,1,1,4,3,1,3,1,3,3,3,3,4,4,1,1,1,1,1,1,1,3,1,1,2,3,2,3,1,4,1,1,3,3,1,2,3,2,4,2,2,4,2,3,2,4,2,,4,1,4,1,1,1,3,2,1,3,1,4,2,3,3,1,1,1,1,3,3,2,1,1,1,4,3,1,1,1,1,1,3,3,2,2,1,1,2,1
Central,Cuarto,Mañana,3,3,3,1,1,1,4,2,3,2,2,2,2,2,3,4,4,3,2,4,2,4,1,2,3,3,1,2,3,2,4,4,2,2,1,2,3,2,1,4,2,2,2,2,4,4,2,4,4,2,,4,1,4,2,1,3,3,2,4,2,3,1,2,2,2,3,3,1,2,3,1,2,1,1,1,4,2,4,1,1,1,2,3,3,3,3,3,3,2,1
Central,Cuarto,Mañana,1,1,3,1,4,1,1,2,1,1,3,3,3,3,3,4,4,1,1,1,3,1,1,2,3,1,1,1,1,3,1,3,3,4,4,3,1,3,3,1,1,1,1,1,1,1,3,3,1,1,,4,1,4,1,1,1,3,3,3,4,3,3,4,3,3,3,3,3,2,3,3,2,3,3,1,4,3,4,1,1,1,3,3,3,3,3,3,1,2,3
Central,Cuarto,Mañana,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,1,1,1,1,1,3,3,1,3,1,1,1,3,1,3,3,1,1,3,2,3,1,1,3,3,2,4,2,2,3,2,3,3,3,2,,4,2,4,2,1,3,3,3,1,3,4,2,2,4,3,3,3,1,3,1,4,2,1,1,1,4,1,1,1,1,1,1,3,3,1,1,4,4,4,4
Central,Cuarto,Mañana,2,3,3,1,1,1,1,1,1,3,2,2,2,3,3,1,1,1,1,3,2,4,1,1,1,1,3,1,1,3,1,1,1,2,2,4,4,1,2,1,4,4,2,2,2,2,1,1,1,2,,4,4,4,4,3,3,3,3,3,4,1,4,4,1,1,4,4,1,3,1,4,2,1,1,1,4,1,1,1,1,1,1,3,3,1,1,4,4,4,4
Central,Cuarto,Mañana,1,1,3,1,4,1,1,2,1,2,1,2,2,1,3,4,4,1,1,1,4,1,1,2,3,1,1,1,1,4,1,3,4,4,4,3,1,4,3,1,1,1,1,1,1,1,4,3,1,1,,4,1,4,1,1,1,1,2,1,4,1,1,4,2,3,1,4,2,2,2,2,2,3,3,2,3,3,3,3,2,1,3,2,2,2,3,2,2,2,2
Central,Cuarto,Mañana,2,2,3,1,1,1,1,1,1,2,3,3,1,3,1,4,4,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,,2,1,2,1,4,2,4,2,3,4,2,4,2,3,2,2,3,1,1,3,3,2,1,2,1,4,3,1,1,1,1,3,3,3,2,2,4,1,2,1
Central,Cuarto,Mañana,3,3,4,1,1,1,1,2,1,1,3,3,3,3,3,4,4,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,4,1,4,4,4,1,2,4,2,2,1,3,4,3,2,,4,3,,4,2,4,2,1,3,3,3,1,3,4,2,2,4,3,3,3,1,2,3,1,2,1,1,1,4,2,4,1,1,1,2,3,3,3,3,3,3,2,1
Central,Cuarto,Mañana,3,3,4,1,1,1,1,2,3,2,3,3,3,3,1,4,4,1,1,1,1,4,1,3,3,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,1,3,2,2,4,2,1,1,1,2,,4,1,4,4,3,3,3,3,3,4,1,4,4,1,1,4,4,1,2,2,1,2,2,1,2,2,4,2,2,2,1,2,2,1,2,2,1,1,2,2
Central,Cuarto,Mañana,1,1,3,1,2,3,1,1,1,3,3,3,1,3,1,4,4,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,4,1,1,3,3,1,1,3,1,4,1,2,4,2,3,2,4,2,,4,1,4,1,2,1,1,3,2,4,1,1,4,3,3,2,4,3,2,3,3,2,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,1,2,3
Central,Cuarto,Mañana,2,2,2,1,3,2,2,2,2,2,3,3,3,3,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,1,1,2,3,1,1,2,1,4,4,2,2,4,2,4,4,4,2,,4,1,4,2,3,3,3,3,3,4,1,4,4,3,1,4,4,1,4,3,1,3,1,1,1,4,1,4,1,1,1,4,3,3,3,3,3,3,2,1
Central,Cuarto,Mañana,1,1,4,1,2,4,1,1,1,4,4,4,2,2,1,4,4,2,3,3,2,2,3,2,4,4,2,2,2,2,3,2,2,4,2,2,2,2,4,4,2,4,4,2,2,2,2,3,2,2,,2,1,4,1,4,2,4,2,3,4,4,4,2,3,2,2,4,1,1,4,4,2,1,1,1,4,4,1,1,1,1,1,4,4,2,2,1,1,2,1
Central,Cuarto,Mañana,3,3,4,1,1,1,1,2,1,1,3,3,3,3,3,4,4,1,1,3,1,4,1,1,3,4,1,3,3,4,3,1,4,4,4,4,4,4,3,4,2,3,1,2,4,2,3,2,4,2,,4,2,4,2,1,3,3,3,1,3,4,2,1,4,3,3,3,1,2,3,3,2,4,1,2,4,3,1,4,1,1,2,3,3,2,2,4,1,2,1
Central,Cuarto,Mañana,1,1,3,1,2,4,1,1,2,2,2,2,3,1,1,4,4,3,2,4,2,4,1,2,1,1,1,2,1,2,4,4,2,2,1,2,1,2,1,4,2,2,2,2,4,4,2,4,4,2,,4,2,4,2,3,3,3,3,3,4,2,4,4,3,2,4,4,1,2,3,3,2,1,1,1,2,3,1,1,1,1,2,3,3,2,2,1,1,2,1
Central,Cuarto,Mañana,2,2,2,2,2,2,4,3,2,3,2,3,3,3,3,4,4,1,1,1,3,2,1,2,3,1,1,1,4,3,1,3,3,4,4,3,1,3,3,2,1,1,1,1,4,1,3,3,1,1,,4,3,4,4,3,3,3,3,3,4,3,4,4,1,3,4,4,2,2,2,2,2,3,3,2,3,3,3,3,2,2,3,2,2,2,3,2,2,2,2
Central,Cuarto,Mañana,1,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,4,1,1,3,4,1,3,3,4,3,1,4,4,4,4,3,4,3,4,2,3,1,2,4,2,3,2,3,2,,3,2,1,2,1,1,1,3,2,3,1,3,4,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Central,Cuarto,Mañana,3,3,4,1,2,1,2,2,1,2,3,3,3,3,3,4,4,2,2,1,3,3,3,3,3,3,3,3,1,2,3,3,1,1,2,3,1,1,2,1,4,4,2,2,4,2,4,4,1,2,,4,1,4,1,1,1,1,3,1,4,2,2,4,3,3,2,4,1,1,1,4,2,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,1,2,4
Central,Cuarto,Mañana,2,2,3,1,1,1,1,2,1,1,3,3,3,3,3,4,4,1,1,3,2,4,1,1,1,1,3,1,1,3,1,1,1,2,2,4,4,1,2,1,4,4,2,2,2,2,1,1,1,2,,4,1,4,1,1,1,2,1,1,4,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,4,1,4,2,2,1,3,3,2,3,1,4,4,4,4
Central,Tercero,Mañana,1,1,3,1,1,1,1,2,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,1,3,1,1,2,1,3,1,2,2,4,2,4,1,1,4,,4,1,4,1,1,2,3,1,1,4,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
Central,Tercero,Mañana,3,1,2,1,1,1,4,2,1,3,3,3,2,2,4,4,4,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,4,2,1,2,1,4,4,4,3,4,1,3,,3,3,1,,4,1,4,3,1,1,,1,1,1,1,1,,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Central,Tercero,Mañana,4,4,4,1,1,1,1,3,4,2,2,2,3,3,3,3,3,1,1,1,3,3,1,1,1,1,3,3,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,2,3,3,,,4,,,,2,1,3,2,3,3,1,1,1,1,1,3,3,3,1,3,3,3,3,4,3,3,3
Central,Tercero,Mañana,3,3,3,4,1,1,4,3,3,3,3,2,2,2,2,4,4,1,1,3,3,3,1,1,3,1,4,1,1,1,1,1,4,1,1,3,3,1,3,3,2,2,2,2,4,2,2,3,3,2,,2,2,2,4,4,1,3,3,2,2,2,4,2,3,1,3,3,2,3,3,2,2,2,3,1,1,2,3,3,1,3,2,2,1,3,3,3,3,2,1
Central,Tercero,Mañana,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,4,4,4,1,4,1,3,3,4,4,4,3,3,3,3,3,2,2,3,3,3,3,1,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3
Central,Tercero,Mañana,3,3,3,3,3,3,4,4,3,3,3,3,2,2,3,4,3,1,1,3,3,3,1,3,3,1,3,3,2,1,3,3,3,3,3,3,3,1,2,3,4,3,4,4,4,2,2,3,3,3,,4,1,4,1,3,3,3,3,3,3,3,3,3,2,2,2,4,2,2,2,2,2,2,3,1,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2
Central,Tercero,Mañana,3,1,1,1,2,3,2,2,2,2,2,4,4,4,1,1,4,3,4,3,3,1,1,3,3,1,3,3,3,1,1,4,2,1,1,1,1,4,3,1,4,4,4,4,4,4,4,4,1,1,,1,1,1,1,4,1,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,1,4,4,4,4,2,2,2
Central,Tercero,Mañana,4,4,4,1,1,1,1,3,1,2,2,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,1,1,1,1,1,3,3,2,2,2,2,2,2,1,4,4,2,,4,1,4,1,1,1,4,4,1,2,4,4,1,1,1,3,3,1,2,3,1,1,1,1,1,3,2,1,1,2,1,3,1,1,1,1,4,4,4,4
Central,Tercero,Mañana,2,2,2,2,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,4,4,2,2,4,2,1,1,1,2,,4,4,4,4,3,4,1,1,1,1,2,4,2,4,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2
Central,Tercero,Mañana,3,3,1,1,1,1,4,3,4,3,3,2,3,2,3,4,4,1,1,1,1,1,3,2,3,1,1,2,3,1,2,1,3,1,1,1,1,1,2,3,2,2,2,2,3,2,3,4,3,2,,4,1,4,1,1,3,4,2,3,4,2,2,2,3,4,3,4,1,1,1,4,2,2,1,3,4,2,3,1,1,3,3,3,3,3,1,4,4,4,4
Central,Tercero,Mañana,3,1,1,1,2,3,4,2,3,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,3,4,4,4,2,4,4,4,4,4,4,4,,1,1,1,1,1,1,1,3,1,4,4,4,4,4,4,2,3,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4
Central,Tercero,Mañana,3,3,4,3,1,1,4,2,4,4,4,4,4,4,4,3,3,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,3,4,4,2,1,1,1,1,4,4,4,2,4,4,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,Tercero,Mañana,2,2,2,1,1,2,4,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,4,2,2,4,2,1,1,1,2,,4,1,4,1,1,1,4,1,1,2,2,4,4,1,1,1,1,2,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Central,Tercero,Mañana,3,1,2,1,2,1,4,2,1,3,3,3,2,2,4,4,4,2,1,1,2,1,1,1,2,1,2,3,1,1,2,1,3,1,4,2,2,2,1,4,4,4,3,4,1,3,1,3,3,2,,4,1,4,3,1,2,1,1,1,1,2,1,3,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Central,Tercero,Mañana,3,1,2,1,1,1,4,2,1,2,3,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,4,2,1,2,1,4,4,4,3,4,1,2,1,3,2,1,,4,1,4,3,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,3,3,2,3,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,2
Central,Tercero,Mañana,3,1,2,1,1,1,4,2,1,3,3,3,2,2,4,4,4,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,4,2,1,2,1,4,4,4,3,4,1,3,1,3,3,1,,4,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Central,Tercero,Mañana,3,4,2,4,1,1,4,2,1,3,3,3,2,2,4,4,4,4,1,4,1,4,1,4,1,4,2,3,1,4,1,4,3,1,4,2,1,2,1,4,4,4,3,4,1,3,1,3,3,1,,4,4,4,3,4,4,4,1,1,1,1,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Central,Tercero,Mañana,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,4,4,4,2,4,2,3,3,4,4,4,3,3,3,3,3,2,2,3,3,3,3,2,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,3
Central,Tercero,Mañana,3,3,2,3,3,4,4,2,2,3,3,2,3,3,2,3,3,1,1,1,1,1,2,3,3,2,2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,,4,4,4,4,1,4,1,2,3,4,4,4,2,3,3,2,3,2,2,2,3,3,3,1,4,4,2,3,3,3,3,3,4,4,4,3,3,3,3,3
Central,Tercero,Mañana,3,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,4,4,4,4,1,4,2,3,3,4,4,4,3,3,3,3,3,2,2,3,3,3,3,1,4,4,3,3,3,3,3,3,4,4,4,3,3,2,2,2
Central,Tercero,Mañana,2,3,3,3,3,2,4,2,3,3,3,3,3,3,3,3,3,1,1,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,,4,4,4,4,1,4,1,3,3,4,4,4,3,3,3,3,3,2,2,3,3,2,3,1,4,4,3,3,3,3,3,3,4,4,4,3,3,3,3,2
Central,Tercero,Mañana,1,3,3,3,3,4,4,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,3,3,3,3,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,,4,4,4,1,1,4,1,3,3,4,4,4,3,3,3,3,2,2,2,3,3,3,3,1,4,4,3,3,3,3,3,3,4,4,4,3,3,1,3,3
Central,Tercero,Mañana,3,3,3,3,3,4,4,2,2,3,2,2,3,1,3,1,3,1,1,1,1,1,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,,4,4,4,4,1,4,1,3,3,4,4,4,3,3,3,3,3,2,2,2,3,3,3,1,4,4,3,3,3,2,3,3,4,4,4,3,3,3,3,2
Central,Tercero,Mañana,3,3,3,3,3,4,4,2,3,2,3,3,3,3,3,3,3,1,1,2,1,1,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,,4,4,4,4,1,4,1,3,3,3,4,4,3,3,3,3,3,2,2,2,3,3,3,1,4,4,3,3,3,2,3,3,4,4,4,3,3,3,3,2
Central,Tercero,Mañana,3,2,3,2,3,4,4,2,2,2,3,2,3,2,3,2,3,1,1,2,1,1,3,2,3,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,2,3,3,2,3,2,3,3,2,2,,4,4,4,4,1,4,1,3,3,3,4,4,3,3,3,3,3,2,2,2,3,3,3,1,4,4,3,3,3,2,3,3,4,4,4,2,2,2,2,2
Central,Tercero,Mañana,1,1,3,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,Segundo,Mañana,3,3,1,3,4,4,2,2,2,2,1,3,3,1,4,4,1,1,2,2,2,3,2,2,1,2,1,2,2,2,4,4,1,1,1,1,1,3,1,3,4,2,2,4,3,1,3,4,1,4,,4,4,1,3,1,4,1,4,1,4,4,3,3,3,3,2,1,1,3,1,1,1,1,4,1,1,1,1,4,3,4,4,4,4,1,1,2,1,2,1
Central,Segundo,Mañana,3,3,3,1,3,4,4,2,2,2,3,2,4,3,1,4,4,3,2,2,2,2,3,2,2,1,2,1,2,2,2,4,4,3,1,1,1,1,3,1,3,4,3,2,4,3,1,3,4,2,,4,4,4,4,1,1,1,4,1,4,1,4,2,1,1,3,1,2,1,3,3,1,1,1,1,4,1,1,1,1,4,3,4,4,4,4,3,3,2,1
